time,vehicles
5942,0
5948,0
5954,0
5960,0
5966,0
5972,0
5978,0
5984,0
6000,0
6006,0
6012,0
6018,0
6024,0
6030,0
6036,0
6042,0
6048,0
6054,0
6060,0
6066,0
6072,0
6078,0
6084,0
6100,0
6106,0
6112,0
6118,0
6124,0
6130,0
6136,0
6142,0
6148,0
6154,0
6160,0
6166,0
6172,0
6178,0
6184,0
6200,0
6206,0
6212,0
6218,0
6224,0
6230,0
6236,0
6242,0
6248,0
6254,0
6260,0
6266,0
6272,0
6278,0
6284,0
6300,0
6306,0
6312,0
6318,0
6324,0
6330,0
6336,0
6342,0
6348,0
6354,0
6360,0
6366,0
6372,0
6378,0
6384,0
6400,0
6406,0
6412,0
6418,0
6424,0
6430,0
6436,0
6442,0
6448,0
6454,0
6460,0
6466,0
6472,0
6478,0
6484,0
6500,0
6506,0
6512,0
6518,0
6524,0
6530,0
6536,0
6542,0
6548,0
6554,0
6560,0
6566,0
6572,0
6578,0
6584,0
6600,0
6606,0
6612,0
6618,0
6624,0
6630,0
6636,0
6642,0
6648,0
6654,0
6660,0
6666,0
6672,0
6678,0
6684,0
6700,0
6706,0
6712,0
6718,0
6724,0
6730,0
6736,0
6742,0
6748,0
6754,0
6760,0
6766,0
6772,0
6778,0
6784,0
6800,0
6806,0
6812,0
6818,0
6824,0
6830,0
6836,0
6842,0
6848,0
6854,0
6860,0
6866,0
6872,0
6878,0
6884,0
6900,0
6906,0
6912,0
6918,0
6924,0
6930,0
6936,0
6942,0
6948,0
6954,0
6960,0
6966,0
6972,0
6978,0
6984,0
7000,0
7006,0
7012,0
7018,0
7024,0
7030,0
7036,0
7042,0
7048,0
7054,0
7060,0
7066,0
7072,0
7078,0
7084,0
7100,0
7106,0
7112,0
7118,0
7124,0
7130,0
7136,0
7142,0
7148,0
7154,0
7160,0
7166,0
7172,0
7178,0
7184,0
7200,0
7206,0
7212,0
7218,0
7224,0
7230,0
7236,0
7242,0
7248,0
7254,0
7260,0
7266,0
7272,0
7278,0
7284,0
7300,0
7306,0
7312,0
7318,0
7324,0
7330,0
7336,0
7342,0
7348,0
7354,0
7360,0
7366,0
7372,0
7378,0
7384,0
7400,0
7406,0
7412,0
7418,0
7424,0
7430,0
7436,0
7442,0
7448,0
7454,0
7460,0
7466,0
7472,0
7478,0
7484,0
7500,0
7506,0
7512,0
7518,0
7524,0
7530,0
7536,0
7542,0
7548,0
7554,0
7560,0
7566,0
7572,0
7578,0
7584,0
7600,0
7606,0
7612,0
7618,0
7624,0
7630,0
7636,0
7642,0
7648,0
7654,0
7660,0
7666,0
7672,0
7678,0
7684,0
7700,0
7706,0
7712,0
7718,0
7724,0
7730,0
7736,0
7742,0
7748,0
7754,0
7760,0
7766,0
7772,0
7778,0
7784,0
7800,0
7806,0
7812,0
7818,0
7824,0
7830,0
7836,0
7842,0
7848,0
7854,0
7860,0
7866,0
7872,0
7878,0
7884,0
7900,0
7906,0
7912,0
7918,0
7924,0
7930,0
7936,0
7942,0
7948,0
7954,0
7960,0
7966,0
7972,0
7978,0
7984,0
8000,0
8006,0
8012,0
8018,0
8024,0
8030,0
8036,0
8042,0
8048,0
8054,0
8060,0
8066,0
8072,0
8078,0
8084,0
8100,0
8106,0
8112,0
8118,0
8124,0
8130,0
8136,0
8142,0
8148,0
8154,0
8160,0
8166,0
8172,0
8178,0
8184,0
8200,0
8206,0
8212,0
8218,0
8224,0
8230,0
8236,0
8242,0
8248,0
8254,0
8260,0
8266,0
8272,0
8278,0
8284,0
8300,0
8306,0
8312,0
8318,0
8324,0
8330,0
8336,0
8342,0
8348,0
8354,0
8360,0
8366,0
8372,0
8378,0
8384,0
8400,0
8406,0
8412,0
8418,0
8424,0
8430,0
8436,0
8442,0
8448,0
8454,0
8460,0
8466,0
8472,0
8478,0
8484,0
8500,0
8506,0
8512,0
8518,0
8524,0
8530,0
8536,0
8542,0
8548,0
8554,0
8560,0
8566,0
8572,0
8578,0
8584,0
8600,0
8606,0
8612,0
8618,0
8624,0
8630,0
8636,0
8642,0
8648,0
8654,0
8660,0
8666,0
8672,0
8678,0
8684,0
8700,0
8706,0
8712,0
8718,0
8724,0
8730,0
8736,0
8742,0
8748,0
8754,0
8760,0
8766,0
8772,0
8778,0
8784,0
8800,0
8806,0
8812,0
8818,0
8824,0
8830,0
8836,0
8842,0
8848,0
8854,0
8860,0
8866,0
8872,0
8878,0
8884,0
8900,0
8906,0
8912,0
8918,0
8924,0
8930,0
8936,0
8942,0
8948,0
8954,0
8960,0
8966,0
8972,0
8978,0
8984,0
9000,0
9006,0
9012,0
9018,0
9024,0
9030,0
9036,0
9042,0
9048,0
9054,0
9060,0
9066,0
9072,0
9078,0
9084,0
9100,0
9106,0
9112,0
9118,0
9124,0
9130,0
9136,0
9142,0
9148,0
9154,0
9160,0
9166,0
9172,0
9178,0
9184,0
9200,0
9206,0
9212,0
9218,0
9224,0
9230,0
9236,0
9242,0
9248,0
9254,0
9260,0
9266,0
9272,0
9278,0
9284,0
9300,0
9306,0
9312,0
9318,0
9324,0
9330,0
9336,0
9342,0
9348,0
9354,0
9360,0
9366,0
9372,0
9378,0
9384,0
9400,0
9406,0
9412,0
9418,0
9424,0
9430,0
9436,0
9442,0
9448,0
9454,0
9460,0
9466,0
9472,0
9478,0
9484,0
9500,0
9506,0
9512,0
9518,0
9524,0
9530,0
9536,0
9542,0
9548,0
9554,0
9560,0
9566,0
9572,0
9578,0
9584,0
9600,0
9606,0
9612,0
9618,0
9624,0
9630,0
9636,0
9642,0
9648,0
9654,0
9660,0
9666,0
9672,0
9678,0
9684,0
9700,0
9706,0
9712,0
9718,0
9724,0
9730,0
9736,0
9742,0
9748,0
9754,0
9760,0
9766,0
9772,0
9778,0
9784,0
9800,0
9806,0
9812,0
9818,0
9824,0
9830,0
9836,0
9842,0
9848,0
9854,0
9860,0
9866,0
9872,0
9878,0
9884,0
9900,0
9906,0
9912,0
9918,0
9924,0
9930,0
9936,0
9942,0
9948,0
9954,0
9960,0
9966,0
9972,0
9978,0
9984,0
10000,0
10006,0
10012,0
10018,0
10024,0
10030,0
10036,0
10042,0
10048,0
10054,0
10060,0
10066,0
10072,0
10078,0
10084,0
10100,0
10106,0
10112,0
10118,0
10124,0
10130,0
10136,0
10142,0
10148,0
10154,0
10160,0
10166,0
10172,0
10178,0
10184,0
10200,0
10206,0
10212,0
10218,0
10224,0
10230,0
10236,0
10242,0
10248,0
10254,0
10260,0
10266,0
10272,0
10278,0
10284,0
10300,0
10306,0
10312,0
10318,0
10324,0
10330,0
10336,0
10342,0
10348,0
10354,0
10360,0
10366,0
10372,0
10378,0
10384,0
10400,0
10406,0
10412,0
10418,0
10424,0
10430,0
10436,0
10442,0
10448,0
10454,0
10460,0
10466,0
10472,0
10478,0
10484,0
10500,0
10506,0
10512,0
10518,0
10524,0
10530,0
10536,0
10542,0
10548,0
10554,0
10560,0
10566,0
10572,0
10578,0
10584,0
10600,0
10606,0
10612,0
10618,0
10624,0
10630,0
10636,0
10642,0
10648,0
10654,0
10660,0
10666,0
10672,0
10678,0
10684,0
10700,0
10706,0
10712,0
10718,0
10724,0
10730,0
10736,0
10742,0
10748,0
10754,0
10760,0
10766,0
10772,0
10778,0
10784,0
10800,0
10806,0
10812,0
10818,0
10824,0
10830,0
10836,0
10842,0
10848,0
10854,0
10860,0
10866,0
10872,0
10878,0
10884,0
10900,0
10906,0
10912,0
10918,0
10924,0
10930,0
10936,0
10942,0
10948,0
10954,0
10960,0
10966,0
10972,0
10978,0
10984,0
11000,0
11006,0
11012,0
11018,0
11024,0
11030,0
11036,0
11042,0
11048,0
11054,0
11060,0
11066,0
11072,0
11078,0
11084,0
11100,0
11106,0
11112,0
11118,0
11124,0
11130,0
11136,0
11142,0
11148,0
11154,0
11160,0
11166,0
11172,0
11178,0
11184,0
11200,0
11206,0
11212,0
11218,0
11224,0
11230,0
11236,0
11242,0
11248,0
11254,0
11260,0
11266,0
11272,0
11278,0
11284,0
11300,0
11306,0
11312,0
11318,0
11324,0
11330,0
11336,0
11342,0
11348,0
11354,0
11360,0
